Name,Silver Bullet #1,Silver Bullet #2,Preference #1,Preference #2,Preference #3,Preference #4,Preference #5,Preference #6,Mgmt intr.,Mgmt exp.,Elex intr.,Elex exp.,Prog intr.,Prog exp.,CAD intr.,CAD exp.,Fab intr.,Fab exp.,Commitment (meet req -> beyond),Category interests (comma separated categories)
A,N,A,T,P,O,T,T,W,2,1,3,2,4,5,5,2,3,3,4,"music, art, food"
B,Z,M,P,M,I,W,V,T,5,4,1,4,2,1,1,3,3,5,1,
C,Y,I,P,M,P,T,A,T,4,2,2,4,5,1,4,2,2,5,2,mobile robots
D,V,K,I,W,Z,T,K,T,5,2,1,5,5,4,3,5,1,3,2,
E,I,Y,A,P,O,P,O,P,1,3,2,5,5,1,4,2,1,1,3,"speech, projectile"
F,V,H,Z,K,M,O,Z,T,1,4,1,5,2,2,5,5,5,2,4,
G,Y,T,Z,R,T,R,N,R,4,1,1,3,5,2,3,5,4,1,4,
H,M,T,N,W,M,M,I,T,4,4,2,2,3,4,3,3,5,5,5,
I,O,H,O,W,M,W,P,T,2,3,3,1,4,4,2,4,4,2,5,
J,W,M,M,M,P,R,K,W,1,5,5,4,3,2,5,1,4,1,1,
K,T,V,P,W,P,P,P,T,4,4,5,1,1,5,2,4,4,3,2,
L,O,O,T,T,P,M,Z,T,1,2,5,1,3,5,5,2,5,5,3,
M,P,V,P,O,M,W,P,T,5,5,1,5,2,5,2,1,2,5,2,
N,O,V,M,A,K,W,P,R,2,1,3,5,1,5,1,3,5,3,5,
O,K,M,O,T,T,T,O,W,3,1,5,3,2,3,3,4,5,2,5,
P,R,P,V,P,V,K,P,K,4,2,3,2,5,4,3,5,4,5,4,
Q,M,T,K,T,I,M,O,M,3,1,2,1,5,2,5,1,1,5,4,
R,P,W,P,R,O,O,P,W,3,1,5,3,4,2,3,4,5,5,4,
S,W,P,P,W,P,W,M,M,1,2,1,5,1,1,5,3,5,2,2,
T,Q,P,M,R,V,T,M,W,4,4,2,4,2,5,4,5,5,5,2,
U,M,R,O,T,M,W,I,K,1,5,2,3,4,1,5,4,5,5,5,
V,A,W,M,W,P,W,O,T,3,3,4,3,3,1,4,4,5,1,3,
W,H,I,V,P,P,M,P,P,3,3,5,2,4,4,1,5,5,1,2,
X,R,R,N,V,P,P,Z,P,4,5,5,2,5,4,4,4,2,1,2,
Y,T,N,M,T,N,T,V,M,5,3,4,3,2,4,4,2,2,4,4,
Z,P,W,N,T,A,T,P,P,4,4,3,5,3,3,5,2,1,3,4,
